,0
84,terra1qp9fksqgd082nlxh3c6cl6h3qtd2qnnuary3ef
85,terra1qp9ew596whpr7yehp0l5yey44w6m6vd8g8ld54
86,terra1qp9auz8mdy77y08g392jtyhz84htw5c4l8cx0j
87,terra1qp9lap3rvmfj2v52z6e9hssqks7rd9s4cp0k7q
88,terra1qpx2ghp2hml6fwhpj7vv8z6k97d4ufkf4uxk7f
89,terra1qpx0jf8jznvgpzxqjq4qx7rxpxmr0f2r3crc84
90,terra1qpxm5ntn94m075jptsghw7enrlq93n7hf2sjyx
91,terra1qp88lsky20g2jdd0zdnyhc4qcc3cjnzrpj30dm
92,terra1qp8drgyht9lgk8elxjjmayjvwd5yyrq2qd0s8a
93,terra1qp846ztjramjg4cynq2js9hd9hx27dlum6uhr0
94,terra1qpgy970j08qrn3m7jjy7tneqz59730l3edh4jc
95,terra1qpgv4fdy6a9m8q29lp0mk6eeztjalwpfdpaegx
96,terra1qpghn44vngmcnu6txe2wm6wcmw0ek6z2p68yz8
97,terra1qpf97a8ry200wwmmrl6wlyrmnq84cn9lc8gtgt
98,terra1qp29wgayadxvhrfld3wcfmmzyppzus8f0lql9x
99,terra1qp2g8cy5sfyr2xp4cnhe4vdl9ykha7l994ymzq
100,terra1qptvmc6rqvuleefu58us8zwyut3x07p54f474d
101,terra1qptd3cvymk8vyf3zdvt7d7k5fl4dy8xxrj3mra
102,terra1qpt55gnf2tljwpx93q4gmxl92qu04thphv7fcc
103,terra1qpv0shvagmz6c9d0xsdkume80xhhmunm37nejc
104,terra1qpd9n7afwf45rkjlpujrrdfh83pldec8rpujgn
105,terra1qpdtnmzw9nt5ca3trz302tmshnjq0r5s958aw9
106,terra1qpd5tt3ccymge5ppnuq5fs5yc3zx7u6y7mvfyh
107,terra1qpd474q4qqza9stmee27su55v4lg80hc6mppr5
108,terra1qpduymmqfd5juc8vqaq52xq9u9qme2l7z2p4gg
109,terra1qpwyddw8p2c0ggc6cms33xcf85jg3uw5rc40ec
110,terra1qpwsdzelq2hj3mlxfatdcq2ptj0dshr02y96s3
111,terra1qp0zflsru5sk24vmt2d5w98v7820d8kravdah5
112,terra1qp0z7akj3s3dmgn5necj9l0fcpjuyd5yjqeqt2
113,terra1qp0v08tg6ec5550e0vpppehr89y5qn22h0kzgj
114,terra1qp0wakcx9gzr4rfuck2ytw60t57qr6kh746a0p
115,terra1qpsxy7dag5vq5u5wn6ymdaeu7xr2gujn0pmjj7
116,terra1qpsx8vs707pqeexcwxusgnxzfj65g49sv8exxw
