,DEPOSIT_AMOUNT,DEPOSIT_TXS,SENDER,WITHDRAWN_AMOUNT,WITHDRAW_TXS
62,200.0,1,terra1y7fknexm5v3y4ugs669adwqvuuc4p23jfj0msc,0.0,0
63,150.0,4,terra19vvnuu5xfu2fr6xxh98a0e3u8skrcsdwkzu8zd,0.0,0
64,513.542025,2,terra180cx8j4uvgp36sy36qzg3v2ke7j8uaepzdyp8v,0.0,0
65,250000.0,1,terra1630pnpr7023y7j8lwukj7z75zcwt4sqt67s2e0,0.0,0
66,1000.0,1,terra16j6tgk8067stx038qem6enyvfr04g3u0xxp26t,500.0,1
67,200.0,2,terra1l9pefmcx0x68d9crpg8kyrxa5qg7auuxny92sr,0.0,0
68,59.823281,1,terra13mxmsl4mzme60w02a8uv3s3vzc7qyqtmlypjwa,0.0,0
69,92.250662,1,terra1cnxwnf4u8cdt23g5hc9zyyjuxmxt2pkwhyelj9,0.0,0
70,106.0,1,terra1ey98y889vn9h2w7mammvjw0efmxlzrftjnllxw,75.0,1
71,77870.0,3,terra1xzna9hnz46ww9wjakwlghmgwgnjvh5vt6fhg32,0.0,0
72,2000.0,1,terra144yjmxvke04vu35ymsty94cglwlgz97v5pzsfe,0.0,0
73,110.0,2,terra1vv2ypvjmygukvn47l4qt0m2n78w2edzyqgn3kg,0.0,0
74,1900.0,1,terra1nmdzqeses285e4ysy5xeyzxg4cqywl40rwp4ws,0.0,0
75,2000.0,1,terra1k86y2pedv6hzhtr5d7pgy7frsc27n5quc6tqyq,1500.0,1
76,240.0,1,terra1hgw3erqu7wat5fqrqpn6kn7lgtd6t8w9zvecdn,0.0,0
77,1000.0,1,terra14z0xdv0xpzasg499rdthdufqh2cy6lwl5jprfc,0.0,0
78,950.0,1,terra1kma8923drtv099jw5yrssh02a94ena4ys3rv9g,0.0,0
79,80.0,1,terra1lrpstaw8fkcpsrjrte54t4k8fnccfmgs954mwl,0.0,0
80,30001.0,2,terra19y0q4qje9807nlpypemucls2vxd2jtl8n5wpz5,0.0,0
81,140.0,1,terra144rpzhsmva58c5slzj3uxx6477e79njzsfgms0,0.0,0
82,20.0,1,terra1vlzxq2sumspxnr7wc5mjjal2653e676lrrg5j2,0.0,0
83,6001.0,2,terra1ch0aru8p2xau6gt29ku2cfd8gxnw50wxnjk37f,0.0,0
84,30.0,2,terra128a0x45q0fn6tx5lwzeec7l0sdxlktqewyuthy,0.0,0
85,200.0,1,terra1mcv3e8y4kw22ta6m4s2yhkmet998t28rg8k5yt,0.0,0
86,4000.0,1,terra174fzaef3jpvnh2y82vpnst7wjwkg8ma0jp2nat,0.0,0
